Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Weston McKennie,Juventus,16,USA,DM,26-039,29,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,19,23,"82,6",0,18,0,1,0,2024-10-06
Khéphren Thuram,Juventus,19,FRA,DM,23-194,61,0,0,0,0,1,0,1,0,64,0,1,0,0.0,0.0,0.0,2,0,53,58,"91,4",6,49,2,2,2,2024-10-06
Douglas Luiz,Juventus,26,BRA,DM,26-150,29,0,0,0,0,1,1,0,0,40,0,0,0,0.0,0.0,0.0,2,0,36,39,"92,3",4,31,3,1,0,2024-10-06
Andrea Cambiaso,Juventus,27,ITA,LB,24-229,90,0,0,0,0,0,0,1,0,81,3,0,0,0.0,0.0,0.0,1,0,69,75,"92,0",2,57,3,0,0,2024-10-06
Pierre Kalulu,Juventus,15,FRA,CB,24-123,90,0,0,0,0,0,0,0,0,121,1,1,2,0.0,0.0,0.0,2,0,112,117,"95,7",9,86,2,0,0,2024-10-06
Federico Gatti,Juventus,4,ITA,CB,26-104,90,0,0,0,0,2,1,0,0,68,0,1,2,0.1,0.1,0.0,1,1,55,57,"96,5",1,44,0,2,2,2024-10-06
Nicolò Savona,Juventus,37,ITA,RB,21-201,69,0,0,0,0,3,2,1,0,74,1,0,0,0.2,0.2,0.0,2,0,67,68,"98,5",4,63,3,0,0,2024-10-06
Danilo,Juventus,6,BRA,RB,33-083,21,0,0,0,0,0,0,0,0,20,0,1,0,0.0,0.0,0.1,2,0,16,18,"88,9",1,12,1,0,0,2024-10-06
Michele Di Gregorio,Juventus,29,ITA,GK,27-071,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,35,41,"85,4",0,33,0,0,0,2024-10-06
Roberto Piccoli,Cagliari,91,ITA,FW,23-253,90,0,0,0,0,4,0,0,0,17,0,0,0,0.2,0.2,0.0,2,1,9,9,"100,0",0,9,1,0,0,2024-10-06
Tommaso Augello,Cagliari,3,ITA,LW,30-037,56,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,12,17,"70,6",2,11,3,0,0,2024-10-06
Zito Luvumbo,Cagliari,77,ANG,"RW,LW",22-211,34,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,2,0,4,7,"57,1",2,6,1,1,1,2024-10-06
Nadir Zortea,Cagliari,19,ITA,RW,25-109,75,0,0,0,0,0,0,0,0,33,2,1,0,0.0,0.0,0.1,1,0,16,23,"69,6",2,20,2,2,0,2024-10-06
Kingstone Mutandwa,Cagliari,80,ZAM,LW,21-275,15,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,"33,3",0,2,0,0,0,2024-10-06
Nicolas Viola,Cagliari,10,ITA,AM,34-360,56,0,0,0,0,1,1,0,0,21,0,0,0,0.0,0.0,0.0,0,0,5,15,"33,3",1,11,1,1,0,2024-10-06
Gianluca Gaetano,Cagliari,70,ITA,AM,24-154,34,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,1,0,6,12,"50,0",1,8,1,0,0,2024-10-06
Antoine Makoumbou,Cagliari,29,CGO,DM,26-080,64,0,0,0,0,0,0,0,0,23,0,1,0,0.0,0.0,0.0,0,0,16,19,"84,2",1,13,0,0,0,2024-10-06
Răzvan Marin,Cagliari,18,ROU,DM,28-136,26,1,0,1,1,1,0,0,0,16,0,0,1,0.8,0.0,0.0,1,0,8,11,"72,7",2,4,1,1,0,2024-10-06
Michel Ndary Adopo,Cagliari,8,FRA,DM,24-079,76,0,0,0,0,0,0,0,0,23,2,2,0,0.0,0.0,0.0,1,0,14,16,"87,5",2,11,0,1,1,2024-10-06
Alessandro Deiola,Cagliari,14,ITA,DM,29-066,14,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,1,1,3,4,"75,0",0,2,0,0,0,2024-10-06
Adam Obert,Cagliari,33,SVK,LB,22-044,90,0,0,0,0,1,0,0,0,40,2,2,2,0.0,0.0,0.0,1,0,17,24,"70,8",4,12,2,1,1,2024-10-06
Sebastiano Luperto,Cagliari,6,ITA,CB,28-030,90,0,0,0,0,0,0,0,0,31,0,1,0,0.0,0.0,0.0,0,0,20,23,"87,0",2,10,0,0,0,2024-10-06
Yerry Mina,Cagliari,26,COL,CB,30-013,90,0,0,0,0,0,0,1,0,45,0,0,2,0.0,0.0,0.0,1,0,36,38,"94,7",1,19,1,1,1,2024-10-06
Gabriele Zappa,Cagliari,28,ITA,RB,24-289,90,0,0,0,0,0,0,0,0,45,1,1,1,0.0,0.0,0.1,1,0,25,34,"73,5",2,13,1,2,0,2024-10-06
Simone Scuffet,Cagliari,22,ITA,GK,28-128,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,15,24,"62,5",0,8,0,0,0,2024-10-06
Santiago Castro,Bologna,9,ARG,FW,20-007,90,0,0,0,0,3,2,0,0,27,2,0,1,0.1,0.1,0.0,1,0,9,15,"60,0",3,12,1,1,0,2024-10-06
Dan Ndoye,Bologna,11,SUI,LW,23-347,77,0,0,0,0,2,1,0,0,43,0,0,0,0.2,0.2,0.0,2,0,25,34,"73,5",8,35,9,4,2,2024-10-06
Jesper Karlsson,Bologna,10,SWE,LW,26-073,13,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,8,8,"100,0",0,9,2,1,0,2024-10-06
Riccardo Orsolini,Bologna,7,ITA,RW,27-256,45,0,0,0,0,2,0,0,0,24,0,1,0,0.1,0.1,0.0,0,0,11,20,"55,0",1,18,4,2,1,2024-10-06
Samuel Iling-Junior,Bologna,14,ENG,RW,21-002,45,0,0,0,0,3,0,0,0,51,0,0,0,0.1,0.1,0.0,4,0,33,44,"75,0",4,34,3,2,1,2024-10-06
Nikola Moro,Bologna,6,CRO,LM,26-208,61,0,0,0,0,0,0,0,0,40,0,0,3,0.0,0.0,0.1,4,0,29,34,"85,3",9,21,1,0,0,2024-10-06
Kacper Urbanski,Bologna,82,POL,LM,20-029,29,0,0,0,0,1,0,1,0,28,0,0,0,0.1,0.1,0.1,2,0,22,25,"88,0",5,18,2,0,0,2024-10-06
Remo Freuler,Bologna,8,SUI,CM,32-174,90,0,0,0,0,0,0,0,0,98,6,0,4,0.0,0.0,0.2,8,0,72,85,"84,7",11,57,1,0,0,2024-10-06
Michel Aebischer,Bologna,20,SUI,RM,27-274,45,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,1,0,12,12,"100,0",1,7,0,0,0,2024-10-06
Giovanni Fabbian,Bologna,80,ITA,RM,21-266,45,0,0,0,0,2,0,0,0,17,2,0,0,0.1,0.1,0.0,1,0,9,11,"81,8",2,10,2,0,0,2024-10-06
Charalambos Lykogiannis,Bologna,22,GRE,LB,30-350,77,0,0,0,0,0,0,0,0,63,1,0,0,0.0,0.0,0.1,6,0,50,60,"83,3",6,26,0,1,1,2024-10-06
Juan Miranda,Bologna,33,ESP,LB,24-261,13,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,1,0,12,14,"85,7",5,7,0,0,0,2024-10-06
Martin Erlic,Bologna,5,CRO,CB,26-256,90,0,0,0,0,4,0,0,0,86,1,1,2,0.1,0.1,0.0,1,0,71,76,"93,4",6,56,2,0,0,2024-10-06
Sam Beukema,Bologna,31,NED,CB,25-324,90,0,0,0,0,1,0,0,0,93,1,1,3,0.0,0.0,0.0,0,0,76,84,"90,5",2,62,0,0,0,2024-10-06
Emil Holm,Bologna,2,SWE,RB,24-146,90,0,0,0,0,0,0,0,0,88,4,0,1,0.0,0.0,0.1,4,0,55,74,"74,3",5,39,2,4,1,2024-10-06
Federico Ravaglia,Bologna,34,ITA,GK,24-330,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,27,30,"90,0",0,20,0,0,0,2024-10-06
Ange-Yoan Bonny,Parma,13,FRA,FW,20-347,71,0,0,0,0,4,0,0,0,19,1,0,0,0.5,0.5,0.0,0,0,6,10,"60,0",2,10,2,1,0,2024-10-06
Valentin Mihaila,Parma,28,ROU,FW,24-247,19,0,0,0,0,2,2,0,0,10,2,0,0,0.1,0.1,0.0,0,0,1,3,"33,3",0,7,0,1,0,2024-10-06
Dennis Man,Parma,98,ROU,"LW,RW",26-041,88,0,0,0,0,1,0,0,0,29,0,1,0,0.0,0.0,0.1,5,0,14,16,"87,5",1,17,4,4,1,2024-10-06
Drissa Camara,Parma,23,CIV,RW,22-231,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,1,"100,0",0,0,0,0,0,2024-10-06
Matteo Cancellieri,Parma,22,ITA,RW,22-237,54,0,0,0,0,2,0,0,0,19,0,0,0,0.0,0.0,0.1,2,0,5,11,"45,5",3,9,0,2,2,2024-10-06
Antoine Hainaut,Parma,20,FRA,"RB,RW",22-231,36,0,0,0,0,0,0,0,0,12,2,0,1,0.0,0.0,0.0,0,0,2,3,"66,7",0,1,0,1,1,2024-10-06
Hernani,Parma,27,BRA,AM,30-193,71,0,0,0,0,1,0,0,0,29,3,0,1,0.0,0.0,0.0,3,0,12,17,"70,6",3,11,2,0,0,2024-10-06
Gabriel Charpentier,Parma,9,CGO,LW,25-142,19,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,2,5,"40,0",1,5,0,2,1,2024-10-06
Simon Sohm,Parma,19,SUI,DM,23-178,90,0,0,0,0,1,0,0,0,26,0,2,1,0.1,0.1,0.0,2,0,15,19,"78,9",0,11,1,0,0,2024-10-06
Adrian Bernabe,Parma,10,ESP,DM,23-133,88,0,0,0,0,1,0,0,0,46,1,0,4,0.0,0.0,0.0,2,0,24,34,"70,6",2,32,1,2,0,2024-10-06
Mandela Keita,Parma,16,BEL,DM,22-149,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.1,1,0,1,1,"100,0",0,0,0,0,0,2024-10-06
Emanuele Valeri,Parma,14,ITA,LB,25-304,90,0,0,0,0,0,0,0,0,37,3,4,4,0.0,0.0,0.0,4,0,14,23,"60,9",1,19,2,4,1,2024-10-06
Botond Balogh,Parma,4,HUN,CB,22-122,90,0,0,0,0,0,0,0,0,47,1,2,1,0.0,0.0,0.0,0,0,28,32,"87,5",3,23,0,0,0,2024-10-06
Enrico Del Prato,Parma,15,ITA,CB,24-331,90,0,0,0,0,0,0,0,0,28,0,1,4,0.0,0.0,0.0,0,0,16,19,"84,2",0,16,0,0,0,2024-10-06
Woyo Coulibaly,Parma,26,FRA,RB,25-139,51,0,0,0,0,1,0,0,1,21,0,0,1,0.1,0.1,0.4,1,0,15,16,"93,8",1,8,1,1,0,2024-10-06
Zion Suzuki,Parma,31,JPN,GK,22-046,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,21,50,"42,0",0,28,0,0,0,2024-10-06
Valentín Castellanos,Lazio,11,ARG,FW,26-003,90,0,1,0,1,4,2,1,0,31,0,1,0,1.4,0.6,0.1,3,1,12,18,"66,7",6,9,1,1,0,2024-10-06
Mattia Zaccagni,Lazio,10,ITA,LW,29-112,86,1,0,0,0,4,1,0,0,48,0,0,0,0.3,0.3,0.0,2,1,28,39,"71,8",4,26,5,2,1,2024-10-06
Tijjani Noslin,Lazio,14,NED,LW,25-091,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,"0,0",0,1,0,0,0,2024-10-06
Gustav Isaksen,Lazio,18,DEN,RW,23-170,72,0,0,0,0,2,1,0,0,43,3,0,0,0.2,0.2,0.0,2,0,25,31,"80,6",0,28,6,2,0,2024-10-06
Pedro,Lazio,9,ESP,RW,37-070,18,1,0,0,0,1,1,0,0,16,2,0,1,0.0,0.0,0.0,1,0,10,11,"90,9",3,13,0,1,0,2024-10-06
Boulaye Dia,Lazio,19,SEN,AM,27-325,85,0,0,0,0,1,0,0,0,31,1,0,0,0.1,0.1,0.1,4,1,21,25,"84,0",2,18,0,1,0,2024-10-06
Gaetano Castrovilli,Lazio,22,ITA,"CM,AM",27-232,5,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,2,"50,0",1,1,0,0,0,2024-10-06
Nicolò Rovella,Lazio,6,ITA,"DM,CM",22-307,90,0,0,0,0,1,0,1,0,65,7,0,1,0.0,0.0,0.1,2,0,49,54,"90,7",6,28,1,2,1,2024-10-06
Mattéo Guendouzi,Lazio,8,FRA,"DM,CM",25-175,90,0,0,0,0,0,0,0,0,63,1,0,0,0.0,0.0,0.6,7,0,50,55,"90,9",9,38,3,1,1,2024-10-06
Nuno Tavares,Lazio,30,POR,LB,24-254,85,0,1,0,0,0,0,0,0,52,1,1,0,0.0,0.0,0.1,4,1,30,45,"66,7",6,25,2,1,1,2024-10-06
Luca Pellegrini,Lazio,3,ITA,LB,25-213,5,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,1,4,"25,0",0,2,0,0,0,2024-10-06
Alessio Romagnoli,Lazio,13,ITA,CB,29-268,90,0,0,0,0,0,0,0,0,46,2,1,1,0.0,0.0,0.0,2,0,36,39,"92,3",2,18,0,0,0,2024-10-06
Mario Gila,Lazio,34,ESP,CB,24-038,90,0,0,0,0,1,0,0,0,70,8,1,2,0.0,0.0,0.0,1,0,51,56,"91,1",6,39,1,0,0,2024-10-06
Manuel Lazzari,Lazio,29,ITA,RB,30-312,37,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.2,3,0,20,27,"74,1",6,17,2,0,0,2024-10-06
Adam Marušić,Lazio,77,MNE,RB,31-355,53,0,0,0,0,0,0,0,0,41,4,1,0,0.0,0.0,0.0,0,0,27,32,"84,4",1,18,1,0,0,2024-10-06
Ivan Provedel,Lazio,94,ITA,GK,30-203,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,22,32,"68,8",0,22,0,0,0,2024-10-06
Ola Solbakken,Empoli,17,NOR,FW,26-029,82,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.1,2,1,17,24,"70,8",3,17,1,3,0,2024-10-06
Lorenzo Colombo,Empoli,29,ITA,FW,22-212,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,2,5,"40,0",0,2,0,0,0,2024-10-06
Sebastiano Esposito,Empoli,99,ITA,FW,22-096,82,1,0,0,0,1,1,0,0,21,0,0,0,0.3,0.3,0.0,1,0,10,15,"66,7",1,12,0,2,1,2024-10-06
Mattia De Sciglio,Empoli,22,ITA,RW,31-352,8,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,2,5,"40,0",0,3,0,1,1,2024-10-06
Giuseppe Pezzella,Empoli,3,ITA,LW,26-312,52,0,0,0,0,0,0,1,0,23,1,0,0,0.0,0.0,0.1,1,0,14,19,"73,7",1,14,2,0,0,2024-10-06
Liberato Cacace,Empoli,13,NZL,LW,24-009,38,0,0,0,0,2,0,0,0,27,0,0,0,0.1,0.1,0.0,2,0,14,21,"66,7",1,9,1,3,1,2024-10-06
Emmanuel Gyasi,Empoli,11,GHA,"RW,FW",30-269,90,0,0,0,0,0,0,1,0,35,2,0,0,0.0,0.0,0.0,0,0,20,24,"83,3",4,14,1,2,1,2024-10-06
Jacopo Fazzini,Empoli,10,ITA,CM,21-204,64,0,0,0,0,0,0,1,0,20,1,0,0,0.0,0.0,0.0,2,1,9,11,"81,8",1,13,0,2,2,2024-10-06
Liam Henderson,Empoli,6,SCO,DM,28-164,26,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,5,6,"83,3",2,1,0,1,1,2024-10-06
Faustino Anjorin,Empoli,8,ENG,CM,22-318,64,0,0,0,0,2,0,0,0,31,1,0,1,0.1,0.1,0.0,1,0,16,22,"72,7",3,19,3,5,4,2024-10-06
Emmanuel Ekong,Empoli,19,SWE,CM,22-103,26,0,0,0,0,0,0,0,0,11,2,0,0,0.0,0.0,0.0,0,0,1,4,"25,0",0,6,0,5,1,2024-10-06
Alberto Grassi,Empoli,5,ITA,"DM,CM",29-213,90,0,0,0,0,0,0,1,0,32,2,1,1,0.0,0.0,0.1,2,0,21,26,"80,8",1,21,0,1,0,2024-10-06
Mattia Viti,Empoli,21,ITA,CB,22-256,90,0,0,0,0,1,1,0,0,67,4,2,1,0.1,0.1,0.0,0,0,46,54,"85,2",2,32,2,2,1,2024-10-06
Ardian Ismajli,Empoli,34,ALB,CB,28-006,90,0,0,0,0,1,0,0,0,50,1,2,0,0.0,0.0,0.0,0,0,25,33,"75,8",1,22,0,0,0,2024-10-06
Saba Goglichidze,Empoli,2,GEO,CB,20-103,90,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,0,0,22,29,"75,9",2,17,2,0,0,2024-10-06
Devis Vásquez,Empoli,23,COL,GK,26-147,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,27,41,"65,9",0,27,0,0,0,2024-10-06
Milan Đurić,Monza,11,BIH,FW,34-137,90,0,0,0,0,0,0,1,0,25,0,0,0,0.0,0.0,0.0,0,0,9,20,"45,0",5,9,0,0,0,2024-10-06
Daniel Maldini,Monza,14,ITA,AM,22-361,87,0,0,0,0,1,1,0,0,39,1,0,0,0.3,0.3,0.0,2,1,21,28,"75,0",5,21,1,2,0,2024-10-06
Gianluca Caprari,Monza,10,ITA,AM,31-068,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-10-06
Matteo Pessina,Monza,32,ITA,"AM,CM",27-168,90,0,0,0,0,0,0,0,0,41,4,1,2,0.0,0.0,0.0,0,0,23,29,"79,3",3,15,0,0,0,2024-10-06
Alessandro Bianco,Monza,42,ITA,CM,22-005,62,0,0,0,0,0,0,0,0,25,0,1,0,0.0,0.0,0.0,1,0,12,19,"63,2",3,12,2,2,2,2024-10-06
Dany Mota,Monza,47,POR,AM,26-157,28,1,0,0,0,1,1,0,0,8,0,1,1,0.8,0.8,0.0,0,0,1,2,"50,0",1,5,0,0,0,2024-10-06
Warren Bondo,Monza,38,FRA,CM,21-021,90,0,0,0,0,0,0,0,0,28,2,0,1,0.0,0.0,0.0,0,0,20,23,"87,0",1,13,1,1,0,2024-10-06
Giorgos Kyriakopoulos,Monza,77,GRE,WB,28-244,90,0,0,0,0,0,0,1,0,42,1,0,1,0.0,0.0,0.0,0,0,24,35,"68,6",1,14,0,0,0,2024-10-06
Pedro Pereira,Monza,13,POR,WB,26-258,72,0,0,0,0,0,0,0,0,32,1,1,1,0.0,0.0,0.0,0,0,16,24,"66,7",1,11,1,0,0,2024-10-06
Danilo D'Ambrosio,Monza,33,ITA,WB,36-027,18,0,0,0,0,1,1,1,0,7,2,0,1,0.0,0.0,0.0,0,0,1,3,"33,3",0,1,0,0,0,2024-10-06
Andrea Carboni,Monza,44,ITA,CB,23-245,90,0,0,0,0,0,0,0,0,47,2,2,1,0.0,0.0,0.0,0,0,27,36,"75,0",0,16,0,0,0,2024-10-06
Pablo Marí,Monza,22,ESP,CB,31-036,90,0,0,0,0,0,0,0,0,49,1,3,1,0.0,0.0,0.0,1,1,34,37,"91,9",0,20,0,0,0,2024-10-06
Armando Izzo,Monza,4,ITA,CB,32-218,90,0,0,0,0,0,0,0,0,64,3,2,4,0.0,0.0,0.0,0,0,41,52,"78,8",2,23,0,0,0,2024-10-06
Semuel Pizzignacco,Monza,21,ITA,GK,23-035,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,25,35,"71,4",0,16,0,0,0,2024-10-06
Artem Dovbyk,Roma,11,UKR,FW,27-107,90,1,0,0,0,3,1,0,0,22,1,0,0,0.4,0.4,0.2,6,2,12,14,"85,7",0,10,1,4,2,2024-10-06
Lorenzo Pellegrini,Roma,7,ITA,AM,28-109,85,0,0,0,0,3,1,0,0,35,2,0,0,0.3,0.3,0.0,1,0,18,27,"66,7",5,15,0,0,0,2024-10-06
Eldor Shomurodov,Roma,14,UZB,AM,29-099,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",0,3,0,0,0,2024-10-06
Matìas Soulé,Roma,18,ARG,AM,21-174,70,0,0,0,0,0,0,1,0,55,1,1,4,0.0,0.0,0.1,2,0,37,44,"84,1",8,37,5,7,4,2024-10-06
Niccolò Pisilli,Roma,61,ITA,AM,20-013,20,0,0,0,0,1,0,0,0,8,1,0,0,0.1,0.1,0.1,2,0,6,6,"100,0",2,5,0,0,0,2024-10-06
Bryan Cristante,Roma,4,ITA,CM,29-217,90,0,0,0,0,0,0,0,0,104,3,0,0,0.0,0.0,0.1,5,0,80,94,"85,1",12,58,4,0,0,2024-10-06
Manu Koné,Roma,17,FRA,CM,23-142,90,0,0,0,0,5,1,0,0,70,0,1,1,0.2,0.2,0.0,2,0,53,58,"91,4",3,37,2,1,0,2024-10-06
Stephan El Shaarawy,Roma,92,ITA,WB,31-345,19,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,2,0,14,15,"93,3",0,8,0,0,0,2024-10-06
Nicola Zalewski,Roma,59,POL,WB,22-257,71,0,0,0,0,0,0,0,0,51,1,0,1,0.0,0.0,0.1,4,0,33,45,"73,3",2,30,7,1,0,2024-10-06
Zeki Çelik,Roma,19,TUR,WB,27-232,85,0,0,0,0,1,1,0,0,58,2,0,1,0.0,0.0,0.0,1,0,42,49,"85,7",6,25,1,0,0,2024-10-06
Tommaso Baldanzi,Roma,35,ITA,WB,21-197,5,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,1,0,2,6,"33,3",0,4,1,1,1,2024-10-06
Angeliño,Roma,3,ESP,CB,27-276,70,0,0,0,0,1,0,0,0,91,5,0,0,0.0,0.0,0.0,0,0,60,73,"82,2",11,43,1,0,0,2024-10-06
Mario Hermoso,Roma,22,ESP,CB,29-110,20,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,11,12,"91,7",3,8,0,0,0,2024-10-06
Obite N'Dicka,Roma,5,CIV,CB,25-047,90,0,0,0,0,0,0,0,0,95,1,2,0,0.0,0.0,0.0,1,0,81,85,"95,3",1,61,0,0,0,2024-10-06
Gianluca Mancini,Roma,23,ITA,CB,28-172,90,0,0,0,0,0,0,0,0,80,3,1,0,0.0,0.0,0.0,0,0,69,74,"93,2",4,42,3,0,0,2024-10-06
Mile Svilar,Roma,99,SRB,GK,25-040,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,25,36,"69,4",0,22,0,0,0,2024-10-06
Moise Kean,Fiorentina,20,ITA,FW,24-221,90,0,1,0,1,4,0,0,0,25,0,0,2,1.2,0.4,0.1,4,0,8,10,"80,0",0,9,1,4,3,2024-10-06
Edoardo Bove,Fiorentina,4,ITA,"LW,DM",22-143,90,0,0,0,0,0,0,1,0,39,4,0,1,0.0,0.0,0.0,2,1,26,32,"81,3",0,19,0,0,0,2024-10-06
Andrea Colpani,Fiorentina,23,ITA,RW,25-148,89,0,0,0,0,4,0,0,0,23,1,0,1,0.2,0.2,0.0,2,0,11,14,"78,6",3,16,5,2,0,2024-10-06
Michael Kayode,Fiorentina,33,ITA,RW,20-088,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,"0,0",0,0,0,0,0,2024-10-06
Albert Guðmundsson,Fiorentina,10,ISL,AM,27-113,76,1,0,0,0,1,1,0,0,27,0,1,0,0.1,0.1,0.0,3,0,16,23,"69,6",1,17,1,2,0,2024-10-06
Cristiano Biraghi,Fiorentina,3,ITA,LW,32-035,14,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,"100,0",0,1,0,0,0,2024-10-06
Yacine Adli,Fiorentina,29,FRA,DM,24-069,76,1,0,0,0,1,1,0,0,48,3,0,0,0.0,0.0,0.0,2,0,35,41,"85,4",2,26,1,0,0,2024-10-06
Christian Kouamé,Fiorentina,99,CIV,AM,26-305,14,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,5,7,"71,4",0,9,0,0,0,2024-10-06
Danilo Cataldi,Fiorentina,32,ITA,DM,30-061,66,0,0,0,0,1,0,0,0,29,0,1,0,0.0,0.0,0.0,2,0,23,27,"85,2",3,17,0,0,0,2024-10-06
Amir Richardson,Fiorentina,24,MAR,DM,22-256,24,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,1,1,7,7,"100,0",1,6,0,0,0,2024-10-06
Robin Gosens,Fiorentina,21,GER,LB,30-093,90,0,1,0,0,0,0,0,0,49,1,1,0,0.0,0.0,0.2,3,1,31,41,"75,6",6,17,1,0,0,2024-10-06
Luca Ranieri,Fiorentina,6,ITA,CB,25-166,90,0,0,0,0,0,0,0,0,34,0,1,3,0.0,0.0,0.0,1,0,21,24,"87,5",0,19,0,0,0,2024-10-06
Pietro Comuzzo,Fiorentina,15,ITA,CB,19-229,90,0,0,0,0,0,0,0,0,42,1,1,1,0.0,0.0,0.0,0,0,27,33,"81,8",1,21,0,0,0,2024-10-06
Dodô,Fiorentina,2,BRA,RB,25-324,90,0,0,0,0,0,0,1,0,50,3,3,1,0.0,0.0,0.2,2,0,27,40,"67,5",3,19,2,3,1,2024-10-06
David de Gea,Fiorentina,43,ESP,GK,33-334,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,1,18,35,"51,4",0,14,0,0,0,2024-10-06
Tammy Abraham,Milan,90,ENG,FW,27-004,90,0,0,0,1,3,2,0,0,23,0,0,1,1.1,0.2,0.1,3,0,9,15,"60,0",0,10,1,2,1,2024-10-06
Rafael Leão,Milan,10,POR,LW,25-118,72,0,0,0,0,3,2,0,0,31,1,2,1,0.1,0.1,0.1,5,0,16,23,"69,6",1,20,5,3,3,2024-10-06
Noah Okafor,Milan,17,SUI,LW,24-135,18,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.2,2,0,5,5,"100,0",0,6,1,3,1,2024-10-06
Christian Pulisic,Milan,11,USA,RW,26-018,81,1,0,0,0,1,1,0,0,38,1,0,0,0.1,0.1,0.3,4,0,27,33,"81,8",2,30,4,3,3,2024-10-06
Samuel Chukwueze,Milan,21,NGA,RW,25-137,9,0,0,0,0,2,1,0,0,4,0,0,0,0.1,0.1,0.0,0,0,0,1,"0,0",0,4,2,1,1,2024-10-06
Álvaro Morata,Milan,7,ESP,AM,31-349,90,0,0,0,0,1,0,1,0,35,0,0,0,0.1,0.1,0.0,0,0,15,26,"57,7",3,18,2,2,1,2024-10-06
Tijjani Reijnders,Milan,14,NED,DM,26-069,90,0,0,0,0,0,0,1,0,55,1,3,0,0.0,0.0,0.0,3,0,44,50,"88,0",12,34,7,0,0,2024-10-06
Youssouf Fofana,Milan,29,FRA,DM,25-270,90,0,0,0,0,0,0,0,0,54,2,1,2,0.0,0.0,0.0,3,0,40,48,"83,3",8,32,0,0,0,2024-10-06
Theo Hernández,Milan,19,FRA,LB,27-000,89,0,1,0,1,1,0,0,1,74,4,3,0,0.8,0.0,0.2,4,1,51,57,"89,5",3,37,3,4,0,2024-10-06
Fikayo Tomori,Milan,23,ENG,CB,26-292,90,0,0,0,0,0,0,1,0,65,1,0,0,0.0,0.0,0.0,1,1,57,61,"93,4",7,33,1,0,0,2024-10-06
